Concept	Tag	Languages	Families
VOICE		504	71
WAR		234	18
WELL		264	18
YOUNG MAN		394	63
BANANA TREE		262	36
DRY UP		280	21
FART		396	96
FINISH		554	77
DESTROY		411	68
EYELASH	human body part	350	66
GOD		429	55
HIT		334	77
SHAMAN (FOLK HEALER)		264	29
BREATH		171	17
PREGNANT		432	68
CATTLE		448	51
GRAIN		375	57
TICK		169	26
SPINE		254	65
AFFAIR		153	15
AFTERNOON		383	66
AND		430	76
PATERNAL AUNT (FATHER'S SISTER)		359	57
MATERNAL AUNT (MOTHER'S SISTER)		235	55
AWL		236	42
BALL		288	59
NO		368	70
BEAM		297	53
STRIKE		125	15
CROOKED		505	115
CROUCH		249	53
BLINK		272	61
BLOW (WITH MOUTH)		443	40
BOAST		364	57
BOOT		240	56
BOY		688	127
BRUSH		228	36
CARRY ON SHOULDER		279	66
BOX		136	18
CATCH		406	71
CENTIPEDE		413	52
MIDDLE		174	32
STINGY		331	71
CHILD (YOUNG HUMAN)		405	84
CHISEL		252	36
ROUND		664	131
CLAW		412	72
SHUT		494	74
COAL		134	18
COAT		242	45
COLLAR		315	49
COPPER		142	20
CORNER		330	71
CRAB		192	15
CRICKET		162	14
DEW		554	60
DIRTY		794	137
DRIVE		295	61
DYE		338	61
JUG		252	56
EMBRACE		388	61
TUMBLE (FALL DOWN)		226	19
FAN (OBJECT)		374	51
FATHER-IN-LAW (OF WOMAN)		238	53
FATHER-IN-LAW (OF MAN)		265	60
FILL		364	20
FIREFLY		270	52
SCALE		293	56
FLAT		538	123
FLOUR		445	61
FOLD		338	67
FOREHEAD	human body part	638	87
FREEZE		133	36
GIRL		653	125
GLASS		295	58
GLOVE		194	38
GLUE		294	66
GOOSE		335	52
GRANDDAUGHTER		274	63
GRAPE		225	36
GRAVE		435	75
HAPPY	emotion	477	122
HEN		505	61
COVER		486	75
HIGH		463	123
CARRY IN HAND		263	52
HOOK		411	63
HOT OR WARM		38	3
ICE		364	75
IF		402	100
IMMEDIATELY		347	69
IN		221	84
IRON		594	63
JUMP		669	80
KISS		409	74
HAWK		393	57
KNEAD		318	55
LATE		305	52
LEAD (CHEMICAL ELEMENT)		203	36
LEOPARD		246	4
LETTER		163	33
LIE DOWN		722	131
CARRY		568	131
LION		404	55
BE ALIVE		409	100
UNTIE		449	58
MARE		227	49
MATCH		347	57
MELT		195	18
MIX		373	63
MORE		259	60
MOTHER-IN-LAW (OF WOMAN)		243	52
MOTHER-IN-LAW (OF MAN)		288	62
MULE		218	41
NAIL (TOOL)		330	67
NEPHEW		272	62
NIECE		262	58
NOT		325	94
OFTEN		330	60
OLD MAN		466	106
OLD WOMAN		511	98
OTHER		383	93
OWL		539	83
TONGS		263	42
PRESS		484	69
PROUD	emotion	277	49
RAIN (RAINING)		228	19
REGRET	emotion	268	51
RICE		347	56
TEAR (SHRED)		510	75
ROOM		290	52
ROPE		647	126
SAW		336	53
SCHOOL		270	62
SCRATCH		450	37
SHIRT		303	68
SCOLD		319	58
SICKLE		167	5
SIDE		387	73
SKIRT		312	60
SLEEVE		144	18
SMELL (PERCEIVE)		725	84
SMILE		266	54
SNAIL		458	63
SNEEZE		539	120
SOAP		278	61
SOFT		588	129
SORGHUM		144	4
SOW (FEMALE PIG)		239	47
SPLASH		234	51
STALLION		220	46
STAND UP		205	31
STEPMOTHER		241	52
STORE		230	49
TOUCH		534	129
STRONG		252	89
STUPID		394	71
THIEF		419	66
THUMB		421	60
FASTEN		289	21
TIME		395	56
TOAD		114	26
TOGETHER		167	19
TOP		439	67
TOWEL		272	53
MOVE		338	62
CLEAR		241	47
SQUEEZE		626	75
UGLY		425	101
MATERNAL UNCLE (MOTHER'S BROTHER)		365	56
UNCLE		313	64
BOTTOM		302	61
PAINT (PIGMENTS)		295	65
WALKING STICK		268	60
WASH (ONESELF)		134	18
