Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
HEAD	28	Tai-Kadai	human body part	10	NAVEL:0.06;NOSE:0.01				
KNEE	28	Tai-Kadai	human body part	5	FOOT:0.01;ANKLE:0.69;FACE:0.01;HAND:0.01;NECK:0.01	ANKLE:1.00	ANKLE:0.00	ANKLE:1.00	ANKLE:0.00
LEG	28	Tai-Kadai	human body part	1	FOOT:0.46;NAVEL:0.06	FOOT:2.00	FOOT:0.01	FOOT:2.00	FOOT:0.01
MOUTH	28	Tai-Kadai	human body part	7	CHEEK:0.02;EYE:0.01;FACE:0.14;JAW:0.02;LIP:0.01;SHOULDER:0.02	FACE:1.00	FACE:0.00	FACE:1.00	FACE:0.00
NAVEL	28	Tai-Kadai	human body part	10	FOOT:0.01;FACE:0.01;HEAD:0.06;LEG:0.06				
NECK	28	Tai-Kadai	human body part	5	KNEE:0.01				
NOSE	28	Tai-Kadai	human body part	8	ARM:0.01;CHEST:0.01;HEAD:0.01				
SHOULDER	28	Tai-Kadai	human body part	9	EAR:0.01;MOUTH:0.02				
TONGUE	28	Tai-Kadai	human body part	7	CHEEK:0.01;FACE:0.05;JAW:0.01;LIP:0.01				
TOOTH	28	Tai-Kadai	human body part	11					
HIP	29	Indo-European	human body part	4	BUTTOCKS:0.12;FOOT:0.16;HEEL:0.06;KNEE:0.06;ANKLE:0.23;BACK:0.02;CHEEK:0.02;FACE:0.01;JAW:0.01;LEG:0.17;LIP:0.01;MOUTH:0.01;NAVEL:0.02	ANKLE:1.00	ANKLE:0.00	ANKLE:1.00	ANKLE:0.00
ANXIETY	3	Arawakan	emotion	2					
FEAR (FRIGHT)	3	Cariban	emotion	2	SURPRISED:3.00	SURPRISED:1.00	SURPRISED:0.11	SURPRISED:1.00	SURPRISED:0.11
PITY	3	Cariban	emotion	4	GRIEF:0.75;LOVE:1.13;REGRET:1.46;WANT:0.44	LOVE:1.00;REGRET:1.00	LOVE:0.11;REGRET:0.11	REGRET:1.00	REGRET:0.11
REGRET	3	Cariban	emotion	4	PITY:1.46;GRIEF:1.78;LOVE:0.54;WANT:0.27	GRIEF:1.00;PITY:1.00	GRIEF:0.11;PITY:0.11	PITY:1.00	PITY:0.11
DOUBT	3	Pano-Tacanan	emotion	7					
REGRET	3	Pano-Tacanan	emotion	4	GRIEF:1.43;WANT:0.01	GRIEF:2.00	GRIEF:0.44	GRIEF:2.00	GRIEF:0.44
GREY	3	Tai-Kadai	color	1					
LIKE	3	Tai-Kadai	emotion	7	HAPPY:0.23;LOVE:0.91;PROUD:0.08	LOVE:1.00	LOVE:0.11	LOVE:1.00	LOVE:0.11
GRIEF	3	Tungusic	emotion	1					
LIKE	3	Tungusic	emotion	3	LOVE:1.94;WANT:0.81	LOVE:2.00;WANT:1.00	LOVE:0.44;WANT:0.11	WANT:1.00	WANT:0.11
SAD	3	Tungusic	emotion	4					
DOUBT	30	Indo-European	emotion	8					
ANKLE	30	Indo-European	human body part	4	BUTTOCKS:0.03;FOOT:0.51;HEEL:0.29;KNEE:0.31;HIP:0.23;LEG:0.54	LEG:1.00;KNEE:1.00;FOOT:1.00;HEEL:1.00;HIP:1.00	LEG:0.00;KNEE:0.00;FOOT:0.00;HEEL:0.00;HIP:0.00	HIP:1.00	HIP:0.00
WRIST	30	Indo-European	human body part	5	ARM:0.53;ELBOW:0.26;FINGER:0.29;HAND:0.59;SHOULDER:0.05;TOE:0.17	HAND:3.00;ARM:2.00;ELBOW:1.00;FINGER:1.00	HAND:0.01;ARM:0.00;ELBOW:0.00;FINGER:0.00	FINGER:1.00	FINGER:0.00
LIP	30	Tupian	human body part	3	FOOT:0.03;FINGER:0.12;HAND:0.06				
SHOULDER	30	Tupian	human body part	4	HEEL:0.13				
ANXIETY	31	Indo-European	emotion	1	ENVY:0.12;ANGER:0.13;FEAR (FRIGHT):0.46;PITY:0.19;GRIEF:0.77;PAIN:0.25;REGRET:0.14;BAD:0.07;WANT:0.01	FEAR (FRIGHT):1.00;GRIEF:2.00	FEAR (FRIGHT):0.00;GRIEF:0.00	GRIEF:2.00	GRIEF:0.00
PITY	31	Indo-European	emotion	1	ENVY:0.03;ANGER:0.11;FEAR (FRIGHT):0.06;ANXIETY:0.19;GRIEF:0.73;PAIN:0.24;REGRET:0.15;BAD:0.04	GRIEF:3.00	GRIEF:0.01	GRIEF:3.00	GRIEF:0.01
BELLY	31	Indo-European	human body part	1	BREAST:0.07;CHEST:0.10;NIPPLE:0.01				
BUTTOCKS	31	Indo-European	human body part	2	FOOT:0.05;HEEL:0.01;KNEE:0.01;ANKLE:0.03;BACK:0.02;CHEEK:0.15;CHIN:0.04;EYE:0.01;FACE:0.02;HEAD:0.02;HIP:0.12;JAW:0.06;LEG:0.05;LIP:0.01;MOUTH:0.01	CHEEK:1.00	CHEEK:0.00	CHEEK:1.00	CHEEK:0.00
NIPPLE	31	Indo-European	human body part	1	BREAST:0.75;BELLY:0.01;CHEST:0.39;FACE:0.02;NAVEL:0.01	BREAST:3.00	BREAST:0.01	BREAST:2.00	BREAST:0.00
BELLY	31	Tupian	human body part	2	BUTTOCKS:0.67;EAR:0.14;HEAD:0.01;HIP:0.04	BUTTOCKS:1.00	BUTTOCKS:0.00	BUTTOCKS:1.00	BUTTOCKS:0.00
HATE	32	Indo-European	emotion	3					
PROUD	32	Indo-European	emotion	4					
ANGER	33	Indo-European	emotion	1	ENVY:0.27;FEAR (FRIGHT):0.11;ANXIETY:0.13;PITY:0.11;GRIEF:0.38;PAIN:0.32;REGRET:0.09;BAD:0.29	PAIN:1.00;BAD:1.00;ENVY:1.00;GRIEF:1.00	PAIN:0.00;BAD:0.00;ENVY:0.00;GRIEF:0.00	GRIEF:1.00	GRIEF:0.00
ENVY	33	Indo-European	emotion	1	ANGER:0.27;FEAR (FRIGHT):0.37;ANXIETY:0.12;PITY:0.03;GRIEF:0.13;PAIN:0.08;REGRET:0.02;BAD:0.07	ANGER:1.00;FEAR (FRIGHT):1.00	ANGER:0.00;FEAR (FRIGHT):0.00	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.00
FEAR (FRIGHT)	33	Indo-European	emotion	1	ENVY:0.37;ANGER:0.11;ANXIETY:0.46;PITY:0.06;GRIEF:0.23;PAIN:0.11;REGRET:0.05;BAD:0.10;WANT:0.03	ANXIETY:1.00;ENVY:1.00	ANXIETY:0.00;ENVY:0.00	ENVY:1.00	ENVY:0.00
REGRET	33	Indo-European	emotion	1	ENVY:0.02;ANGER:0.09;FEAR (FRIGHT):0.05;ANXIETY:0.14;PITY:0.15;GRIEF:0.58;PAIN:0.19;BAD:0.04	GRIEF:2.00	GRIEF:0.00	GRIEF:2.00	GRIEF:0.00
ANKLE	33	Nakh-Daghestanian	human body part	5	BREAST:0.05;KNEE:0.07;ARM:0.03;CHEST:0.05;ELBOW:0.02;EYE:0.03;FINGER:0.01;HAND:0.04;HIP:0.01;MOUTH:0.02;NIPPLE:0.02;NOSE:0.02;SHOULDER:0.01;TOE:0.01;WRIST:0.01				
PAIN	33	Sino-Tibetan	emotion	3	GRIEF:0.37;SHAME:0.01;GOOD:0.01;BAD:0.01;WANT:0.01;ANGRY:0.01	GRIEF:1.00	GRIEF:0.01	GRIEF:1.00	GRIEF:0.01
BUTTOCKS	33	Tupian	human body part	2	BELLY:0.67;EAR:0.30;HIP:0.01	BELLY:1.00	BELLY:0.00	BELLY:1.00	BELLY:0.00
HAPPY	34	Indo-European	emotion	2	LOVE:0.32;LIKE:0.12;WANT:0.12	LOVE:1.00	LOVE:0.00	LOVE:1.00	LOVE:0.00
EYEBROW	34	Indo-European	human body part	3	EYELASH:1.78	EYELASH:1.00	EYELASH:0.00	EYELASH:1.00	EYELASH:0.00
BLACK	34	Nakh-Daghestanian	color	2					
BLUE	34	Nakh-Daghestanian	color	3	YELLOW:0.11;GREEN:1.10	GREEN:3.00	GREEN:0.01	GREEN:3.00	GREEN:0.01
GREEN	34	Nakh-Daghestanian	color	3	BLUE:1.10;YELLOW:0.40	BLUE:3.00;YELLOW:1.00	BLUE:0.01;YELLOW:0.00	YELLOW:1.00	YELLOW:0.00
RED	34	Nakh-Daghestanian	color	1					
YELLOW	34	Nakh-Daghestanian	color	3	BLUE:0.11;GREEN:0.40	GREEN:1.00	GREEN:0.00	GREEN:1.00	GREEN:0.00
ANGER	34	Nakh-Daghestanian	emotion	2					
ANXIETY	34	Nakh-Daghestanian	emotion	3	FEAR (FRIGHT):0.94;GRIEF:0.45;WANT:0.01	FEAR (FRIGHT):3.00;GRIEF:1.00	FEAR (FRIGHT):0.01;GRIEF:0.00	GRIEF:1.00	GRIEF:0.00
BAD	34	Nakh-Daghestanian	emotion	8					
DOUBT	34	Nakh-Daghestanian	emotion	1	ENVY:3.00	ENVY:2.00	ENVY:0.00	ENVY:2.00	ENVY:0.00
ENVY	34	Nakh-Daghestanian	emotion	1	DOUBT:3.00	DOUBT:2.00	DOUBT:0.00	DOUBT:2.00	DOUBT:0.00
FEAR (FRIGHT)	34	Nakh-Daghestanian	emotion	3	ANXIETY:0.94;GRIEF:0.33	ANXIETY:3.00	ANXIETY:0.01	ANXIETY:2.00	ANXIETY:0.00
GOOD	34	Nakh-Daghestanian	emotion	6	LOVE:0.01				
GRIEF	34	Nakh-Daghestanian	emotion	3	FEAR (FRIGHT):0.33;ANXIETY:0.45;LOVE:0.01;WANT:0.16	ANXIETY:1.00	ANXIETY:0.00	ANXIETY:1.00	ANXIETY:0.00
HAPPY	34	Nakh-Daghestanian	emotion	5					
LOVE	34	Nakh-Daghestanian	emotion	6	GRIEF:0.01;GOOD:0.01;WANT:0.27	WANT:1.00	WANT:0.00	WANT:1.00	WANT:0.00
PAIN	34	Nakh-Daghestanian	emotion	4					
PROUD	34	Nakh-Daghestanian	emotion	7					
WANT	34	Nakh-Daghestanian	emotion	6	ANXIETY:0.01;GRIEF:0.16;LOVE:0.27	LOVE:1.00	LOVE:0.00	LOVE:1.00	LOVE:0.00
ARM	34	Nakh-Daghestanian	human body part	6	BREAST:0.02;FOOT:0.07;HEEL:0.03;KNEE:0.02;ANKLE:0.03;BACK:0.26;FACE:0.02;FINGER:0.01;HAND:1.20;HIP:0.16;LEG:0.14;LIP:0.01;MOUTH:0.01;NIPPLE:0.01;SHOULDER:0.35;TOE:0.01	SHOULDER:2.00;HAND:18.00;HIP:1.00;LEG:1.00;BACK:1.00	SHOULDER:0.00;HAND:0.28;HIP:0.00;LEG:0.00;BACK:0.00	BACK:1.00	BACK:0.00
BACK	34	Nakh-Daghestanian	human body part	6	FOOT:0.01;ARM:0.26;FOREHEAD:0.01;HAND:0.13;HIP:0.02;LEG:0.01;SHOULDER:0.35	SHOULDER:1.00;ARM:1.00	SHOULDER:0.00;ARM:0.00	ARM:1.00	ARM:0.00
BREAST	34	Nakh-Daghestanian	human body part	1	ANKLE:0.05;ARM:0.02;CHEST:0.72;FACE:0.03;HAND:0.02;MOUTH:0.01;NECK:0.03;NIPPLE:0.72;TONGUE:0.20	NIPPLE:6.00;CHEST:3.00	NIPPLE:0.03;CHEST:0.01	CHEST:1.00	CHEST:0.00
BUTTOCKS	34	Nakh-Daghestanian	human body part	2	EYELASH:0.01;LIP:0.01;MOUTH:0.04;NOSE:0.06;WRIST:0.01				
CHEEK	34	Nakh-Daghestanian	human body part	7	KNEE:0.01;HIP:0.02;LEG:0.01;NAVEL:0.45	NAVEL:1.00	NAVEL:0.00	NAVEL:1.00	NAVEL:0.00
CHEST	34	Nakh-Daghestanian	human body part	1	BREAST:0.72;ANKLE:0.05;FACE:0.01;HAND:0.01;NECK:0.01;NIPPLE:0.28;TONGUE:0.07	BREAST:3.00	BREAST:0.01	BREAST:1.00	BREAST:0.00
CHIN	34	Nakh-Daghestanian	human body part	8	JAW:2.13	JAW:8.00	JAW:0.06	JAW:2.00	JAW:0.00
EAR	34	Nakh-Daghestanian	human body part	9					
ELBOW	34	Nakh-Daghestanian	human body part	4	FOOT:0.01;KNEE:0.33;ANKLE:0.02;HEAD:0.02;HIP:0.06;LEG:0.01;TOOTH:0.01	KNEE:1.00	KNEE:0.00	KNEE:1.00	KNEE:0.00
EYE	34	Nakh-Daghestanian	human body part	5	ANKLE:0.03;FINGER:0.01;JAW:0.01;TOE:0.01;WRIST:0.02				
EYEBROW	34	Nakh-Daghestanian	human body part	3	EYELASH:1.72	EYELASH:5.00	EYELASH:0.02	EYELASH:3.00	EYELASH:0.01
EYELASH	34	Nakh-Daghestanian	human body part	3	BUTTOCKS:0.01;EYEBROW:1.72	EYEBROW:5.00	EYEBROW:0.02	EYEBROW:3.00	EYEBROW:0.01
FACE	34	Nakh-Daghestanian	human body part	10	BREAST:0.03;ARM:0.02;CHEST:0.01;HAND:0.01;HEAD:0.02;LIP:0.26;MOUTH:0.18;NECK:0.03;NIPPLE:0.04;TONGUE:0.01	MOUTH:1.00;LIP:1.00	MOUTH:0.00;LIP:0.00	LIP:1.00	LIP:0.00
FINGER	34	Nakh-Daghestanian	human body part	11	KNEE:0.01;ANKLE:0.01;ARM:0.01;EYE:0.01;HAND:0.01;TOE:1.96	TOE:17.00	TOE:0.25	TOE:5.00	TOE:0.02
FOOT	34	Nakh-Daghestanian	human body part	4	HEEL:0.85;KNEE:0.03;ARM:0.07;BACK:0.01;ELBOW:0.01;HAND:0.05;HEAD:0.01;HIP:0.18;LEG:1.07;NECK:0.01;SHOULDER:0.01;TOOTH:0.04	LEG:9.00;HEEL:4.00	LEG:0.07;HEEL:0.01	HEEL:3.00	HEEL:0.01
FOREHEAD	34	Nakh-Daghestanian	human body part	2	BACK:0.01;HEAD:0.02;NECK:0.01;NOSE:0.04;SHOULDER:0.02				
HAND	34	Nakh-Daghestanian	human body part	6	BREAST:0.02;FOOT:0.05;HEEL:0.01;KNEE:0.02;ANKLE:0.04;ARM:1.20;BACK:0.13;CHEST:0.01;FACE:0.01;FINGER:0.01;HIP:0.16;LEG:0.08;MOUTH:0.01;NIPPLE:0.01;SHOULDER:0.19;TOE:0.01	ARM:18.00;HIP:1.00	ARM:0.28;HIP:0.00	HIP:1.00	HIP:0.00
HEAD	34	Nakh-Daghestanian	human body part	2	FOOT:0.01;HEEL:0.01;KNEE:0.01;ELBOW:0.02;FACE:0.02;FOREHEAD:0.02;LEG:0.01;LIP:0.03;MOUTH:0.02;NECK:0.02;NOSE:0.01;SHOULDER:0.01				
HEEL	34	Nakh-Daghestanian	human body part	4	FOOT:0.85;KNEE:0.01;ARM:0.03;HAND:0.01;HEAD:0.01;HIP:0.09;LEG:0.42;TOOTH:0.02	FOOT:4.00	FOOT:0.01	FOOT:3.00	FOOT:0.01
HIP	34	Nakh-Daghestanian	human body part	4	FOOT:0.18;HEEL:0.09;KNEE:0.27;ANKLE:0.01;ARM:0.16;BACK:0.02;CHEEK:0.02;ELBOW:0.06;HAND:0.16;LEG:0.40;LIP:0.04;SHOULDER:0.03	LEG:3.00;ARM:1.00;HAND:1.00	LEG:0.01;ARM:0.00;HAND:0.00	HAND:1.00	HAND:0.00
JAW	34	Nakh-Daghestanian	human body part	8	CHIN:2.13;EYE:0.01	CHIN:8.00	CHIN:0.06	CHIN:2.00	CHIN:0.00
KNEE	34	Nakh-Daghestanian	human body part	4	FOOT:0.03;HEEL:0.01;ANKLE:0.07;ARM:0.02;CHEEK:0.01;ELBOW:0.33;FINGER:0.01;HAND:0.02;HEAD:0.01;HIP:0.27;LEG:0.06;NOSE:0.03;TOE:0.01	ELBOW:1.00	ELBOW:0.00	ELBOW:1.00	ELBOW:0.00
LEG	34	Nakh-Daghestanian	human body part	4	FOOT:1.07;HEEL:0.42;KNEE:0.06;ARM:0.14;BACK:0.01;CHEEK:0.01;ELBOW:0.01;HAND:0.08;HEAD:0.01;HIP:0.40;SHOULDER:0.02;TOOTH:0.02	FOOT:9.00;HIP:3.00;ARM:1.00	FOOT:0.07;HIP:0.01;ARM:0.00	ARM:1.00	ARM:0.00
LIP	34	Nakh-Daghestanian	human body part	10	BUTTOCKS:0.01;ARM:0.01;FACE:0.26;HEAD:0.03;HIP:0.04;MOUTH:0.44;NIPPLE:0.01	FACE:1.00;MOUTH:1.00	FACE:0.00;MOUTH:0.00	MOUTH:1.00	MOUTH:0.00
MOUTH	34	Nakh-Daghestanian	human body part	10	BREAST:0.01;BUTTOCKS:0.04;ANKLE:0.02;ARM:0.01;FACE:0.18;HAND:0.01;HEAD:0.02;LIP:0.44;NOSE:0.02;SHOULDER:0.01;WRIST:0.05	FACE:1.00;LIP:1.00	FACE:0.00;LIP:0.00	LIP:1.00	LIP:0.00
NAVEL	34	Nakh-Daghestanian	human body part	7	CHEEK:0.45	CHEEK:1.00	CHEEK:0.00	CHEEK:1.00	CHEEK:0.00
NECK	34	Nakh-Daghestanian	human body part	2	BREAST:0.03;FOOT:0.01;CHEST:0.01;FACE:0.03;FOREHEAD:0.01;HEAD:0.02;NIPPLE:0.04;NOSE:0.02;TONGUE:0.01				
NIPPLE	34	Nakh-Daghestanian	human body part	1	BREAST:0.72;ANKLE:0.02;ARM:0.01;CHEST:0.28;FACE:0.04;HAND:0.01;LIP:0.01;NECK:0.04;TONGUE:0.46	BREAST:6.00;TONGUE:3.00	BREAST:0.03;TONGUE:0.01	TONGUE:1.00	TONGUE:0.00
NOSE	34	Nakh-Daghestanian	human body part	2	BUTTOCKS:0.06;KNEE:0.03;ANKLE:0.02;FOREHEAD:0.04;HEAD:0.01;MOUTH:0.02;NECK:0.02;WRIST:0.01				
SHOULDER	34	Nakh-Daghestanian	human body part	6	FOOT:0.01;ANKLE:0.01;ARM:0.35;BACK:0.35;FOREHEAD:0.02;HAND:0.19;HEAD:0.01;HIP:0.03;LEG:0.02;MOUTH:0.01	ARM:2.00;BACK:1.00	ARM:0.00;BACK:0.00	BACK:1.00	BACK:0.00
TOE	34	Nakh-Daghestanian	human body part	11	KNEE:0.01;ANKLE:0.01;ARM:0.01;EYE:0.01;FINGER:1.96;HAND:0.01	FINGER:17.00	FINGER:0.25	FINGER:5.00	FINGER:0.02
TONGUE	34	Nakh-Daghestanian	human body part	1	BREAST:0.20;CHEST:0.07;FACE:0.01;NECK:0.01;NIPPLE:0.46	NIPPLE:3.00	NIPPLE:0.01	NIPPLE:1.00	NIPPLE:0.00
TOOTH	34	Nakh-Daghestanian	human body part	4	FOOT:0.04;HEEL:0.02;ELBOW:0.01;LEG:0.02				
BAD	34	Tupian	emotion	1	ENVY:0.11;SHAME:0.01;PAIN:0.30;LOVE:0.11;REGRET:0.02;WANT:0.24	PAIN:1.00;WANT:1.00	PAIN:0.00;WANT:0.00	WANT:1.00	WANT:0.00
HIP	35	Sino-Tibetan	human body part	2	BUTTOCKS:0.80;FOOT:0.02;BACK:0.17;LEG:0.04;NECK:0.01	BUTTOCKS:1.00	BUTTOCKS:0.00	BUTTOCKS:1.00	BUTTOCKS:0.00
GREY	36	Sino-Tibetan	color	1	RED:0.02;BLUE:0.54;YELLOW:0.01;GREEN:0.13	BLUE:4.00	BLUE:0.01	BLUE:1.00	BLUE:0.00
WRIST	4	Afro-Asiatic	human body part	5	ARM:0.96;EYE:0.01;FACE:0.03;HAND:0.79	ARM:1.00;HAND:1.00	ARM:0.06;HAND:0.06	HAND:1.00	HAND:0.06
GRIEF	4	Arawakan	emotion	3					
BELLY	4	Austronesian	human body part	1	BREAST:0.10;CHEST:0.02;NIPPLE:0.02				
ANGER	4	Cariban	emotion	1					
ANXIETY	4	Cariban	emotion	3					
PROUD	4	Cariban	emotion	5					
SURPRISED	4	Cariban	emotion	2	FEAR (FRIGHT):3.00	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.11	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.11
BELLY	4	Cariban	human body part	8					
CHEEK	4	Cariban	human body part	9	FACE:3.00	FACE:3.00	FACE:0.56	FACE:2.00	FACE:0.25
EYEBROW	4	Cariban	human body part	2	EYELASH:3.00	EYELASH:1.00	EYELASH:0.06	EYELASH:1.00	EYELASH:0.06
EYELASH	4	Cariban	human body part	2	EYEBROW:3.00	EYEBROW:1.00	EYEBROW:0.06	EYEBROW:1.00	EYEBROW:0.06
HEEL	4	Cariban	human body part	4	ANKLE:3.00	ANKLE:1.00	ANKLE:0.06	ANKLE:1.00	ANKLE:0.06
JAW	4	Cariban	human body part	11	CHIN:3.00	CHIN:1.00	CHIN:0.06	CHIN:1.00	CHIN:0.06
BELLY	4	Chocoan	human body part	4					
LOVE	4	Tungusic	emotion	3	LIKE:1.94;WANT:0.50	LIKE:2.00	LIKE:0.44	LIKE:2.00	LIKE:0.44
PAIN	4	Tungusic	emotion	2					
WANT	4	Tungusic	emotion	3	LOVE:0.50;LIKE:0.81	LIKE:1.00	LIKE:0.11	LIKE:1.00	LIKE:0.11
CHEST	4	Tungusic	human body part	1	BREAST:0.76				
ELBOW	4	Tungusic	human body part	3	ARM:1.19;HAND:0.66	ARM:1.00	ARM:0.06	ARM:1.00	ARM:0.06
FACE	4	Tungusic	human body part	5	CHEEK:3.00	CHEEK:1.00	CHEEK:0.06	CHEEK:1.00	CHEEK:0.06
FINGER	4	Tungusic	human body part	8	TOE:1.57	TOE:3.00	TOE:0.56	TOE:3.00	TOE:0.56
JAW	4	Tungusic	human body part	6	CHIN:3.00	CHIN:1.00	CHIN:0.06	CHIN:1.00	CHIN:0.06
TOE	4	Tungusic	human body part	8	FINGER:1.57	FINGER:3.00	FINGER:0.56	FINGER:3.00	FINGER:0.56
DOUBT	4	Tupian	emotion	7					
PROUD	4	Tupian	emotion	4					
REGRET	4	Tupian	emotion	1	PAIN:0.02;BAD:0.02;WANT:0.02				
ANGER	4	Turkic	emotion	1					
ANXIETY	4	Turkic	emotion	2	FEAR (FRIGHT):1.00				
DOUBT	4	Turkic	emotion	3	GRIEF:0.03				
FEAR (FRIGHT)	4	Turkic	emotion	2	ANXIETY:1.00				
BUTTOCKS	4	Turkic	human body part	2					
EYEBROW	4	Turkic	human body part	3					
HIP	4	Turkic	human body part	13					
NIPPLE	4	Turkic	human body part	1	BREAST:1.51	BREAST:1.00	BREAST:0.06	BREAST:1.00	BREAST:0.06
TOE	40	Sino-Tibetan	human body part	5	ARM:0.50;ELBOW:0.02;FINGER:1.33;HAND:0.33;SHOULDER:0.01;WRIST:0.02	FINGER:1.00	FINGER:0.00	FINGER:1.00	FINGER:0.00
BLUE	40	Tupian	color	1	RED:0.02;BLACK:0.89;WHITE:0.16;YELLOW:0.02;GREEN:1.67	GREEN:11.00;BLACK:3.00	GREEN:0.08;BLACK:0.01	BLACK:2.00	BLACK:0.00
BACK	40	Tupian	human body part	3	FOOT:0.01				
BLACK	41	Tupian	color	1	RED:0.01;BLUE:0.89;WHITE:0.05;YELLOW:0.01;GREEN:0.42	BLUE:3.00	BLUE:0.01	BLUE:2.00	BLUE:0.00
GREEN	41	Tupian	color	1	RED:0.01;BLACK:0.42;BLUE:1.67;WHITE:0.26;YELLOW:0.03	BLUE:11.00;WHITE:1.00	BLUE:0.08;WHITE:0.00	WHITE:1.00	WHITE:0.00
YELLOW	41	Tupian	color	1	RED:0.08;BLACK:0.01;BLUE:0.02;WHITE:0.24;GREEN:0.03	WHITE:1.00	WHITE:0.00	WHITE:1.00	WHITE:0.00
HAPPY	41	Tupian	emotion	3					
PAIN	41	Tupian	emotion	1	ENVY:0.17;LOVE:0.17;REGRET:0.02;BAD:0.30;WANT:0.31	BAD:1.00;WANT:1.00	BAD:0.00;WANT:0.00	WANT:1.00	WANT:0.00
BREAST	41	Tupian	human body part	1	CHEST:0.82;NIPPLE:0.71	NIPPLE:1.00;CHEST:1.00	NIPPLE:0.04;CHEST:0.03	CHEST:1.00	CHEST:0.03
EAR	41	Tupian	human body part	2	BUTTOCKS:0.30;BELLY:0.14				
FACE	41	Tupian	human body part	8	EYE:0.68;FOREHEAD:0.77;NOSE:0.01;TOOTH:0.03	EYE:2.00;FOREHEAD:1.00	EYE:0.00;FOREHEAD:0.00	FOREHEAD:1.00	FOREHEAD:0.00
LEG	41	Tupian	human body part	9					
RED	42	Tupian	color	1	BLACK:0.01;BLUE:0.02;WHITE:0.01;YELLOW:0.08;GREEN:0.01				
WHITE	42	Tupian	color	1	RED:0.01;BLACK:0.05;BLUE:0.16;YELLOW:0.24;GREEN:0.26	YELLOW:1.00;GREEN:1.00	YELLOW:0.00;GREEN:0.00	GREEN:1.00	GREEN:0.00
GOOD	42	Tupian	emotion	6					
WANT	42	Tupian	emotion	1	ENVY:0.84;PAIN:0.31;LOVE:0.84;REGRET:0.02;BAD:0.24	LOVE:1.00;ENVY:1.00;BAD:1.00;PAIN:1.00	LOVE:0.03;ENVY:0.04;BAD:0.00;PAIN:0.00	PAIN:1.00	PAIN:0.00
ARM	42	Tupian	human body part	5					
EYE	42	Tupian	human body part	8	FACE:0.68;FOREHEAD:0.27;TOOTH:0.08	FACE:2.00	FACE:0.00	FACE:2.00	FACE:0.00
FINGER	42	Tupian	human body part	3	FOOT:0.15;HAND:0.79;LIP:0.12	HAND:4.00;FOOT:1.00	HAND:0.01;FOOT:0.00	FOOT:1.00	FOOT:0.00
FOOT	42	Tupian	human body part	3	BACK:0.01;FINGER:0.15;FOREHEAD:0.01;HAND:0.07;HIP:0.01;LIP:0.03	FINGER:1.00	FINGER:0.00	FINGER:1.00	FINGER:0.00
HAND	42	Tupian	human body part	3	FOOT:0.07;FINGER:0.79;LIP:0.06	FINGER:4.00	FINGER:0.01	FINGER:3.00	FINGER:0.01
HEAD	42	Tupian	human body part	2	BELLY:0.01				
MOUTH	42	Tupian	human body part	10	NECK:0.75	NECK:1.00	NECK:0.00	NECK:1.00	NECK:0.00
NECK	42	Tupian	human body part	10	MOUTH:0.75	MOUTH:1.00	MOUTH:0.00	MOUTH:1.00	MOUTH:0.00
NOSE	42	Tupian	human body part	8	FACE:0.01				
TONGUE	42	Tupian	human body part	11					
TOOTH	42	Tupian	human body part	8	EYE:0.08;FACE:0.03;FOREHEAD:0.01;NIPPLE:0.02				
BLUE	43	Afro-Asiatic	color	1	RED:0.16;BLACK:0.34;YELLOW:0.58;GREEN:1.28	GREEN:7.00;BLACK:1.00;YELLOW:1.00	GREEN:0.03;BLACK:0.00;YELLOW:0.00	YELLOW:1.00	YELLOW:0.00
GREEN	47	Afro-Asiatic	color	1	RED:0.15;BLACK:0.16;BLUE:1.28;YELLOW:0.56	YELLOW:1.00;BLUE:7.00	YELLOW:0.00;BLUE:0.03	BLUE:7.00	BLUE:0.03
ANXIETY	5	Afro-Asiatic	emotion	2	FEAR (FRIGHT):3.00	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.04	FEAR (FRIGHT):1.00	FEAR (FRIGHT):0.04
PITY	5	Afro-Asiatic	emotion	3					
EYELASH	5	Afro-Asiatic	human body part	3	EYEBROW:1.78	EYEBROW:2.00	EYEBROW:0.16	EYEBROW:2.00	EYEBROW:0.16
NIPPLE	5	Afro-Asiatic	human body part	1	BREAST:0.96;CHEST:0.05	BREAST:1.00	BREAST:0.04	BREAST:1.00	BREAST:0.04
JAW	5	Arawakan	human body part	7	CHIN:3.00	CHIN:1.00	CHIN:0.04	CHIN:1.00	CHIN:0.04
NIPPLE	5	Arawakan	human body part	1	BREAST:1.78	BREAST:1.00	BREAST:0.04	BREAST:1.00	BREAST:0.04
BLUE	5	Cariban	color	2	GREEN:1.98	GREEN:3.00	GREEN:0.36	GREEN:3.00	GREEN:0.36
GRIEF	5	Cariban	emotion	4	PITY:0.75;LOVE:0.41;REGRET:1.78;WANT:0.08	REGRET:1.00	REGRET:0.11	REGRET:1.00	REGRET:0.11
